선거일,선거명,시도명,구시군명,선거구명,소속정당명,성명,성별,생년월일,연령,직업,경력1,경력2
20180613,시·도지사선거,서울특별시,,서울특별시,더불어민주당,박원순,남,1956.03.26,62,서울특별시장,(전) 아름다운재단 상임이사,(전) 희망제작소 상임이사
20180613,시·도지사선거,부산광역시,,부산광역시,더불어민주당,오거돈,남,1948.10.28,69,국립부산대학교 석좌교수,(전)부산광역시 시장 권한대행,(전)해양수산부 장관
20180613,시·도지사선거,대구광역시,,대구광역시,자유한국당,권영진,남,1962.12.10,55,대구광역시장,(전)18대 국회의원,(현)대구광역시장
20180613,시·도지사선거,인천광역시,,인천광역시,더불어민주당,박남춘,남,1958.07.02,59,정당인,(전) 인천 남동구(갑) 국회의원(재선),(전) 참여정부 청와대 인사수석비서관
20180613,시·도지사선거,광주광역시,,광주광역시,더불어민주당,이용섭,남,1951.08.11,66,정당인,(전)문재인정부 일자리위원회 초대부위원장,(전)노무현정부 행정자치부 장관
20180613,시·도지사선거,대전광역시,,대전광역시,더불어민주당,허태정,남,1965.08.17,52,정당인,(전)재선 유성구청장(2010~2018),(전)노무현정부 청와대 행정관
20180613,시·도지사선거,울산광역시,,울산광역시,더불어민주당,송철호,남,1949.05.26,69,변호사,(현)대통령직속 국가균형발전위원회 고문,(전)국민고충처리위원장(장관급)
20180613,시·도지사선거,세종특별자치시,,세종특별자치시,더불어민주당,이춘희,남,1955.12.06,62,세종특별자치시장,(전) 제12대 건설교통부 차관,(현) 제2대 세종특별자치시 시장
20180613,시·도지사선거,경기도,,경기도,더불어민주당,이재명,남,1964.12.22,53,정당인,(전)성남시장,(전)제19대 대통령선거 더불어민주당 경선후보
20180613,시·도지사선거,강원도,,강원도,더불어민주당,최문순,남,1956.02.04,62,강원도지사,(전)제18대 국회의원,(현)강원도지사
20180613,시·도지사선거,충청북도,,충청북도,더불어민주당,이시종,남,1947.04.18,71,충청북도지사,(현)충청북도지사,"(전)17대, 18대 국회의원"
20180613,시·도지사선거,충청남도,,충청남도,더불어민주당,양승조,남,1959.03.21,59,정치인,(전)17·18·19·20대 4선국회의원,(전)20대 국회보건복지위원장
20180613,시·도지사선거,전라북도,,전라북도,더불어민주당,송하진,남,1952.04.29,66,정당인,(현)민선6기 전라북도지사,"(전)민선4,5기 전주시장"
20180613,시·도지사선거,전라남도,,전라남도,더불어민주당,김영록,남,1955.02.17,63,정당인,(전)문재인정부 초대 농식품부장관,"(전)제18대, 19대 국회의원"
20180613,시·도지사선거,경상북도,,경상북도,자유한국당,이철우,남,1955.08.15,62,정당인,(전)경상북도 부지사,"(전)3선 국회의원(제18,19,20대)"
20180613,시·도지사선거,경상남도,,경상남도,더불어민주당,김경수,남,1967.12.01,50,정당인,(전)제20대 국회의원,(전)더불어민주당 경남도당위원장
20180613,시·도지사선거,제주특별자치도,,제주특별자치도,무소속,원희룡,남,1964.02.14,54,제주특별자치도지사,(현)제주특별자치도지사,"(전)제16, 17, 18대 국회의원"
20180613,구·시·군의 장선거,서울특별시,종로구,종로구,더불어민주당,김영종,남,19531203,64,공무원,(현)종로구청장,(전)한양대학교 공공정책 대학원 겸임교수
20180613,구·시·군의 장선거,서울특별시,중구,중구,더불어민주당,서양호,남,19671015,50,정당인,(전)노무현 대통령 청와대 행정관,(현)서울시 교육청 교육자치특별보좌관
20180613,구·시·군의 장선거,서울특별시,용산구,용산구,더불어민주당,성장현,남,19550517,63,공무원,(현)단국대학교 행정법무대학원 겸임교수,(현)용산구청장
20180613,구·시·군의 장선거,서울특별시,성동구,성동구,더불어민주당,정원오,남,19680812,49,성동구청장,(현) 성동구청장,(현) 한양대학교 경영대학 특임교수
20180613,구·시·군의 장선거,서울특별시,광진구,광진구,더불어민주당,김선갑,남,19600625,57,정당인,(현)더불어민주당 추미애 당대표 경제특보,"(전)제8,9대 서울시의회의원"
20180613,구·시·군의 장선거,서울특별시,동대문구,동대문구,더불어민주당,유덕열,남,19540709,63,공무원,(전)민주당 중앙당 사무부총장,(현)동대문구청장
20180613,구·시·군의 장선거,서울특별시,중랑구,중랑구,더불어민주당,류경기,남,19611021,56,정당인,(전)서울특별시 행정1부시장,(현)더불어민주당 정책위부의장
20180613,구·시·군의 장선거,서울특별시,성북구,성북구,더불어민주당,이승로,남,19600218,58,정당인,(전) 민주당 중앙당 사무부총장,(전) 서울특별시 의회의원
20180613,구·시·군의 장선거,서울특별시,강북구,강북구,더불어민주당,박겸수,남,19591026,58,기초자치단체장,(현)강북구청장,(현)더불어민주당 중앙위원
20180613,구·시·군의 장선거,서울특별시,도봉구,도봉구,더불어민주당,이동진,남,19600908,57,도봉구청장,(전) 국회의원 김근태 보좌관,(현) 도봉구청장
20180613,구·시·군의 장선거,서울특별시,노원구,노원구,더불어민주당,오승록,남,19691130,48,정당인,(전)노무현 대통령 청와대 행정관(3급),"(전)제8, 9대 서울시의원"
20180613,구·시·군의 장선거,서울특별시,은평구,은평구,더불어민주당,김미경,여,19650705,52,정당인,(전)문재인 대통령후보 서울시민캠프 상임대표,"(전)8,9대 서울시의원"
