"회계연도","지역명","자치단체코드","자치단체명","분야코드","분야명","부문코드","부문명","세출결산액"
"2011","제주","4900000","제주본청","080","사회복지","089","사회복지일반","8231656347"
"2011","제주","4900000","제주본청","090","보건","091","보건의료","37807239010"
"2011","제주","4900000","제주본청","090","보건","093","식품의약안전","865838480"
"2011","제주","4900000","제주본청","100","농림해양수산","101","농업ㆍ농촌","304773642031"
"2011","제주","4900000","제주본청","100","농림해양수산","102","임업ㆍ산촌","17898722360"
"2011","제주","4900000","제주본청","100","농림해양수산","103","해양수산ㆍ어촌","86196969669"
"2011","제주","4900000","제주본청","110","산업ㆍ중소기업","113","무역및투자유치","3552128240"
"2011","제주","4900000","제주본청","110","산업ㆍ중소기업","114","산업진흥ㆍ고도화","46042473020"
"2011","제주","4900000","제주본청","110","산업ㆍ중소기업","115","에너지및자원개발","21580343770"
"2011","제주","4900000","제주본청","110","산업ㆍ중소기업","116","산업ㆍ중소기업일반","18429936330"
"2011","제주","4900000","제주본청","120","수송및교통","121","도로","192930225320"
"2011","제주","4900000","제주본청","120","수송및교통","124","해운ㆍ항만","68887154100"
"2011","제주","4900000","제주본청","120","수송및교통","125","항공ㆍ공항","404279630"
"2011","제주","4900000","제주본청","120","수송및교통","126","대중교통ㆍ물류등기타","69266796100"
"2011","제주","4900000","제주본청","140","국토및지역개발","142","지역및도시","145958419290"
"2011","제주","4900000","제주본청","150","과학기술","153","과학기술일반","289897100"
"2011","제주","4900000","제주본청","160","예비비","161","예비비","0"
"2011","제주","4900000","제주본청","900","기타","901","기타","386077060636"
"2011","경남","4879000","경남거창군","090","보건","093","식품의약안전","86266560"
"2011","경남","4879000","경남거창군","100","농림해양수산","101","농업ㆍ농촌","60349772630"
"2011","경남","4879000","경남거창군","100","농림해양수산","102","임업ㆍ산촌","15443874020"
"2011","경남","4879000","경남거창군","110","산업ㆍ중소기업","111","산업금융지원","500000000"
"2011","경남","4879000","경남거창군","110","산업ㆍ중소기업","113","무역및투자유치","10937214250"
"2011","경남","4879000","경남거창군","110","산업ㆍ중소기업","114","산업진흥ㆍ고도화","2494876460"
"2011","경남","4879000","경남거창군","110","산업ㆍ중소기업","115","에너지및자원개발","81763790"
"2011","경남","4879000","경남거창군","120","수송및교통","121","도로","7297438220"
"2011","경남","4879000","경남거창군","120","수송및교통","126","대중교통ㆍ물류등기타","6431676690"
"2011","경남","4879000","경남거창군","140","국토및지역개발","141","수자원","7078670970"
"2011","경남","4879000","경남거창군","140","국토및지역개발","142","지역및도시","22969760220"
"2011","경남","4879000","경남거창군","140","국토및지역개발","143","산업단지","14043924190"
"2011","경남","4879000","경남거창군","160","예비비","161","예비비","0"
"2011","경남","4879000","경남거창군","900","기타","901","기타","42135126680"
"2011","경남","4880000","경남합천군","010","일반공공행정","011","입법및선거관리","704273730"
"2011","경남","4880000","경남합천군","010","일반공공행정","013","지방행정ㆍ재정지원","455417040"
"2011","경남","4880000","경남합천군","010","일반공공행정","014","재정ㆍ금융","477068610"
"2011","경남","4880000","경남합천군","010","일반공공행정","016","일반행정","19500918174"
"2011","경남","4880000","경남합천군","020","공공질서및안전","025","재난방재ㆍ민방위","2829728660"
"2011","경남","4880000","경남합천군","050","교육","051","유아및초중등교육","3694377590"
"2011","경남","4880000","경남합천군","060","문화및관광","061","문화예술","18157355990"
"2011","경남","4880000","경남합천군","060","문화및관광","062","관광","6573933340"
"2011","경남","4880000","경남합천군","060","문화및관광","063","체육","4826745310"
"2011","경남","4880000","경남합천군","060","문화및관광","064","문화재","9327967930"
"2011","경남","4880000","경남합천군","070","환경보호","071","상하수도ㆍ수질","43354092470"
"2011","경남","4880000","경남합천군","070","환경보호","072","폐기물","2115560990"
"2011","경남","4880000","경남합천군","070","환경보호","073","대기","53954000"
"2011","경남","4880000","경남합천군","070","환경보호","074","자연","1292285240"
"2011","경남","4880000","경남합천군","070","환경보호","076","환경보호일반","109684980"
"2011","경남","4880000","경남합천군","080","사회복지","081","기초생활보장","10345167285"
"2011","경남","4880000","경남합천군","080","사회복지","082","취약계층지원","4145306980"
"2011","경남","4880000","경남합천군","080","사회복지","084","보육ㆍ가족및여성","6810413130"
"2011","경남","4880000","경남합천군","080","사회복지","085","노인ㆍ청소년","26857022333"
"2011","경남","4880000","경남합천군","080","사회복지","086","노동","1293164640"
"2011","경남","4880000","경남합천군","080","사회복지","087","보훈","923028020"
"2011","경남","4880000","경남합천군","080","사회복지","088","주택","550056440"
"2011","경남","4880000","경남합천군","080","사회복지","089","사회복지일반","670124060"
"2011","경남","4880000","경남합천군","090","보건","091","보건의료","4956863850"
"2011","경남","4880000","경남합천군","090","보건","093","식품의약안전","159644280"
"2011","경남","4880000","경남합천군","100","농림해양수산","101","농업ㆍ농촌","64650202860"
