"회계연도","지역명","자치단체코드","자치단체명","분야코드","분야명","부문코드","부문명","세출결산액"
"2010","제주","4900000","제주본청","020","공공질서및안전","023","경찰","791396823"
"2010","제주","4900000","제주본청","020","공공질서및안전","025","재난방재ㆍ민방위","144816366800"
"2010","제주","4900000","제주본청","050","교육","051","유아및초중등교육","22916348770"
"2010","제주","4900000","제주본청","050","교육","052","고등교육","759000000"
"2010","제주","4900000","제주본청","050","교육","053","평생ㆍ직업교육","1383594580"
"2010","제주","4900000","제주본청","060","문화및관광","061","문화예술","48325995779"
"2010","제주","4900000","제주본청","060","문화및관광","062","관광","31528548937"
"2010","제주","4900000","제주본청","060","문화및관광","063","체육","46353218303"
"2010","제주","4900000","제주본청","060","문화및관광","064","문화재","36478076324"
"2010","제주","4900000","제주본청","070","환경보호","071","상하수도ㆍ수질","148061472935"
"2010","제주","4900000","제주본청","070","환경보호","072","폐기물","28834404545"
"2010","제주","4900000","제주본청","070","환경보호","073","대기","1595602320"
"2010","제주","4900000","제주본청","070","환경보호","074","자연","17674362490"
"2010","제주","4900000","제주본청","070","환경보호","075","해양","3590469855"
"2010","제주","4900000","제주본청","070","환경보호","076","환경보호일반","5428427300"
"2010","제주","4900000","제주본청","080","사회복지","081","기초생활보장","126926523202"
"2010","제주","4900000","제주본청","080","사회복지","082","취약계층지원","53396802800"
"2010","제주","4900000","제주본청","080","사회복지","084","보육ㆍ가족및여성","137458625570"
"2010","제주","4900000","제주본청","080","사회복지","085","노인ㆍ청소년","100826477335"
"2010","제주","4900000","제주본청","080","사회복지","086","노동","9510869580"
"2010","제주","4900000","제주본청","080","사회복지","087","보훈","2372556880"
"2010","제주","4900000","제주본청","080","사회복지","088","주택","2422405990"
"2010","제주","4900000","제주본청","080","사회복지","089","사회복지일반","7557690380"
"2010","제주","4900000","제주본청","090","보건","091","보건의료","32502758480"
"2010","제주","4900000","제주본청","090","보건","093","식품의약안전","414079830"
"2010","제주","4900000","제주본청","100","농림해양수산","101","농업ㆍ농촌","263518038276"
"2010","제주","4900000","제주본청","100","농림해양수산","102","임업ㆍ산촌","15358688370"
"2010","제주","4900000","제주본청","100","농림해양수산","103","해양수산ㆍ어촌","80984508870"
"2010","제주","4900000","제주본청","110","산업ㆍ중소기업","113","무역및투자유치","8472138280"
"2010","제주","4900000","제주본청","110","산업ㆍ중소기업","114","산업진흥ㆍ고도화","43684017650"
"2010","제주","4900000","제주본청","110","산업ㆍ중소기업","115","에너지및자원개발","26106082860"
"2010","제주","4900000","제주본청","110","산업ㆍ중소기업","116","산업ㆍ중소기업일반","16138177220"
"2010","제주","4900000","제주본청","120","수송및교통","121","도로","242922525150"
"2010","제주","4900000","제주본청","120","수송및교통","124","해운ㆍ항만","73732991300"
"2010","제주","4900000","제주본청","120","수송및교통","125","항공ㆍ공항","244278370"
"2010","제주","4900000","제주본청","120","수송및교통","126","대중교통ㆍ물류등기타","45805412070"
"2010","제주","4900000","제주본청","140","국토및지역개발","142","지역및도시","121296591800"
"2010","제주","4900000","제주본청","150","과학기술","153","과학기술일반","364586160"
"2010","제주","4900000","제주본청","160","예비비","161","예비비","0"
"2010","제주","4900000","제주본청","900","기타","901","기타","368765949550"
"2010","경남","4878000","경남함양군","160","예비비","161","예비비","0"
"2010","경남","4878000","경남함양군","900","기타","901","기타","35087936720"
"2010","경남","4879000","경남거창군","010","일반공공행정","011","입법및선거관리","732645250"
"2010","경남","4879000","경남거창군","010","일반공공행정","014","재정ㆍ금융","853326650"
